"Error analysis of satellite precipitation-driven modeling of flood events in complex alpine terrain","10.3390/RS8040293"
"Roles of an atmospheric river and a cutoff low in the extreme precipitation event in hiroshima on 19 august 2014","10.1175/MWR-D-15-0299.1"
"Controls on chemical weathering on a mountainous volcanic tropical island: guadeloupe (french west indies)","10.1016/J.GCA.2015.09.009"
"Flash flood occurrence and relation to the rainfall hazard in a highly urbanized area","10.5194/NHESS-15-1859-2015"
"Stability analysis of semicohesive streambanks with concepts: coupling field and laboratory investigations to quantify the onset of fluvial erosion and mass failure","10.1061/(ASCE)HY.1943-7900.0000899"
"Modulation of daily precipitation over east africa by the madden-julian oscillation","10.1175/JCLI-D-13-00693.1"
"Objective categorization of heavy-rain-producing mcs synoptic types by rotated principal component analysis","10.1175/MWR-D-13-00295.1"
"Analysis of flash flood-triggering rainfall for a process-oriented hydrological model","10.1016/J.ATMOSRES.2013.09.016"
"Hydro-geomorphic response models for burned areas and their applications in land management","10.1177/0309133313508802"
"Using nwp simulations in satellite rainfall estimation of heavy precipitation events over mountainous areas","10.1175/JHM-D-12-0174.1"
"Measurements of heavy convective rainfall in the presence of hail in flood-prone areas using an x-band polarimetric radar","10.1175/JAMC-D-12-052.1"
"An empirical method for peak discharge prediction in ungauged arid and semi-arid region catchments based on morphological parameters and scs curve number","10.1016/J.JHYDROL.2012.06.016"
"Hydrometeorological extremes derived from taxation records for south-eastern moravia, czech republic, 1751-1900 ad","10.5194/CP-8-467-2012"
"Quantitative flood forecasting on small- and medium-sized basins: a probabilistic approach for operational purposes","10.1175/JHM-D-10-05022.1"
"Sediment-charged flash floods on montserrat: the influence of synchronous tephra fall and varying extent of vegetation damage","10.1016/J.JVOLGEORES.2010.05.002"
"An example of the effects of anthropogenic changes on natural environment in the apulian karst (southern italy)","10.1007/S00254-008-1604-6"
"Spatial-temporal mesoscale modeling of rainfall intensity using gage and radar data","10.1214/08-AOAS166"
"Mediterranean flash flood transfer through karstic area","10.1007/S00254-007-0855-Y"
"Climatology of extreme rainfall and flooding from orographic thunderstorm systems in the upper arkansas river basin","10.1029/2006WR005093"
"A probabilistic adaptation of meteorological model outputs to hydrological forecasting",NA
"Numerical simulations of the 12-13 august 2002 flooding event in eastern germany","10.1256/QJ.03.152"
"Intercomparison of mesoscale meteorological models for precipitation forecasting","10.5194/HESS-7-799-2003"
"Geochemical variations during flash flooding, meramec river basin, may 2000","10.1016/S0022-1694(02)00105-1"
"Active tectonic control on alluvial fan architecture along kachchh mainland hill range, western india",NA
"The 21 june 1997 flood: storm-scale simulations and implications for operational forecasting","10.1175/1520-0434(2001)016<0197:TJFSSS>2.0.CO;2"
"Assessment of landslide hazards induced by extreme rainfall event in jammu and kashmir himalaya, northwest india","10.1016/J.GEOMORPH.2017.01.003"
"Intercomparison of improved satellite rainfall estimation with chirps gridded product and rain gauge data over venezuela","10.20937/ATM.2016.29.04.04"
"Evaluation of trmm satellite-based precipitation indexes for flood forecasting over riyadh city, saudi arabia","10.1016/J.JHYDROL.2016.01.014"
"Evaluating regional climate models for simulating sub-daily rainfall extremes","10.1007/S00382-015-2923-4"
"Monitoring channel head erosion processes in response to an artificially induced abrupt base level change using time-lapse photography","10.1016/J.GEOMORPH.2016.05.001"
"Dynamics of tropical-extratropical interactions and extreme precipitation events in saudi arabia in autumn, winter and spring","10.1002/QJ.2781"
"Dendrogeomorphic approaches for identifying the probable occurrence of debris flows and related torrential processes in steep headwater catchments: the hruby jesenik mountains, czech republic","10.1016/J.GEOMORPH.2015.06.027"
"Glacial lake outburst flood at kedarnath, indian himalaya: a study using digital elevation models and satellite images","10.1007/S11069-015-1629-6"
"A 2500-yr late holocene multi-proxy record of vegetation and hydrologic changes from a cave guano-clay sequence in sw romania","10.1016/J.YQRES.2015.01.007"
"12 september 2012: a supercell outbreak in ne italy?","10.1016/J.ATMOSRES.2014.07.019"
"Debris flows in the eastern italian alps: seasonality and atmospheric circulation patterns","10.5194/NHESS-15-647-2015"
"Multidecadal trends in the duration of wet spells and associated intensity of precipitation as revealed by a very dense observational german network","10.1088/1748-9326/9/2/025003"
"Flash flood mitigation as a positive consequence of anthropogenic forcing on the groundwater resource in a karst catchment","10.1007/S12665-013-2678-3"
"Limits to flood forecasting in the colorado front range for two summer convection periods using radar nowcasting and a distributed hydrologic model","10.1175/JHM-D-12-0129.1"
"Hydrologic analyses of the july 17-18, 1996, flood in chicago and the role of urbanization","10.1061/(ASCE)HE.1943-5584.0000462"
"The potential of radar-based ensemble forecasts for flash-flood early warning in the southern swiss alps","10.5194/HESS-17-3853-2013"
"Probabilistic evaluation of ensemble discharge nowcasts in two nested alpine basins prone to flash floods","10.1002/HYP.9458"
"Observed and projected changes in rainfall extremes in the metropolitan area of sao paulo","10.3354/CR01160"
"Application of theory to simulations of observed cases of orographically forced convective rainfall","10.1175/MWR-D-11-00253.1"
"Development of a thresholds approach for real-time flash flood prediction in complex geomorphological river basins","10.1002/HYP.8272"
"Framework of national non-structural measures for flash flood disaster prevention in china","10.3390/W4010272"
"Experimental insights on geomorphological processes within dam break outburst floods","10.1016/J.JHYDROL.2011.07.037"
"The effect of recurrent floods on genetic composition of marble trout populations","10.1371/JOURNAL.PONE.0023822"
"Analysis of predicted and observed accumulated convective precipitation in the area with frequent split storms","10.5194/HESS-15-3651-2011"
"Estimating nutrient and sediment flood loads in a small mediterranean river","10.1002/HYP.6580"
"Vertically integrated moisture flux convergence as a predictor of thunderstorms","10.1016/J.ATMOSRES.2005.08.015"
"The role of the sea on the flash floods events over liguria (northwestern italy)","10.1002/2016GL068265"
"Optimization of the generalization capability for rainfall-runoff modeling by neural networks: the case of the lez aquifer (southern france)","10.1007/S12665-011-1450-9"
"Causes and consequences of recent floods in the golestan catchments and caspian sea regions of iran","10.1007/S11069-011-9934-1"
"Heavy precipitation events in the mediterranean: sensitivity to cloud physics parameterisation uncertainties","10.5194/NHESS-12-2671-2012"
"Multiple time scales of fluvial processes with bed load sediment and implications for mathematical modeling","10.1061/(ASCE)HY.1943-7900.0000296"
"The effect of tropical cyclones on southwest monsoon rainfall in the philippines","10.2151/JMSJ.2011-A08"
"Modelling the extreme precipitation event over madeira island on 20 february 2010","10.5194/NHESS-11-2437-2011"
"Hydrologic modeling of an extreme flood in the guadalupe river in texas","10.1111/J.1752-1688.2010.00459.X"
"Flash flood hydrology in karstic terrain: flumineddu canyon, central-east sardinia","10.1016/J.GEOMORPH.2010.03.021"
"Numerical study of the october 2007 flash flood in the valencia region (eastern spain): the role of orography","10.5194/NHESS-10-1331-2010"
"Early flood warnings from empirical (expanded) downscaling of the full ecmwf ensemble prediction system","10.1029/2009WR007779"
"Orographic triggering of long lived convection in three dimensions","10.1007/S00703-008-0332-5"
"Characteristics of the extreme rainfall event and consequent flash floods in w slovenia in september 2007","10.5194/NHESS-9-947-2009"
"Enhanced radar-based flood alert system and floodplain map library","10.1061/(ASCE)1084-0699(2008)13:10(926)"
"Evaluation of nexrad radar precipitation products for natural resource applications","10.2111/07-036.1"
"Lightning sensors for observing, tracking and nowcasting severe weather","10.3390/S8010157"
"Reactivity, interactions and transport of trace elements, organic carbon and particulate material in a mountain range river system (adour river, france)","10.1039/B616312B"
"The early permian of valdeviar in sevilla province, sw spain: basin history and climatic/palaeogeographic implications",NA
"An objectively selected case study of a heavy rain event in the mediterranean basin: a diagnosis using numerical simulation","10.1016/J.ATMOSRES.2005.12.002"
"Modeling a densely urbanized watershed with an artificial neural network, weather radar and telemetric data","10.1016/J.JHYDROL.2005.05.007"
"Rainfall monitoring systems over an urban area: the city of rome","10.1002/HYP.5642"
"Nutrient mobilization and processing in sonoran desert riparian soils following artificial re-wetting","10.1023/B:BIOG.0000049339.74391.14"
"Sediment sorting and transport by flash floods","10.1029/2003JF000067"
"Coherent regeneration and the role of water vapor and shear in a long-lived convective episode","10.1175/1520-0493(2004)132<0192:CRATRO>2.0.CO;2"
"Cloud-to-ground lightning and surface rainfall during the great flood of 1993","10.1175/1520-0493(2003)131<1140:CLASRD>2.0.CO;2"
"Radar observations and numerical modeling of a precipitating line during map iop 5","10.1175/1520-0493(2002)130<2533:ROANMO>2.0.CO;2"
"Two floods in fort collins, colorado: learning from a natural disaster","10.1175/1520-0477(2000)081<2359:TFIFCC>2.3.CO;2"
"The deadliest storm of the 20th century striking portugal: flood impacts and atmospheric circulation","10.1016/J.JHYDROL.2015.10.036"
"Controls, budgets and variability of riverine sediment fluxes to the gulf of lions (nw mediterranean sea)","10.1016/J.JHYDROL.2016.07.012"
"The convective precipitation experiment (cope): investigating the origins of heavy precipitation in the southwestern united kingdom","10.1175/BAMS-D-14-00157.1"
